TournamentName,Surface,Series,MatchDate,PlayerASurname,PlayerAFirstName,PlayerBSurname,PlayerBFirstName,PlayerAGames,PlayerBGames,ExpectedMatchOutcome,MatchOutcomeProbability,BookmakerName,Source,OddAfterCommission,Edge,ObservedMatchOutcome,TeamAScore,TeamBScore,MatchComment
Australian Open,Hard,Grand Slam,24-01-2013,Djokovic,Novak,Ferrer,David,116,124,Away Win,0.208482829,Marathonbet.co.uk,Best Betting,9.400000,0.9597385926000,Home Win,3,0,Completed
Australian Open,Hard,Grand Slam,25-01-2013,Murray,Andy,Federer,Roger,110,111,Away Win,0.594006054,Paddy Power,Odds Checker Web,2.380000,0.4137344085200,Home Win,3,2,Completed
Australian Open,Hard,Grand Slam,27-01-2013,Djokovic,Novak,Murray,Andy,117,111,Home Win,0.791517171,Paddy Power,Odds Checker Web,1.570000,0.2426819584700,Home Win,3,1,Completed
VTR Open,Clay,ATP,04-02-2013,Alund,Martin,Giraldo,Santiago,0,55,Home Win,0.341856582,Marathonbet.co.uk,Best Betting,3.250000,0.1110338915000,Away Win,2,1,Completed
VTR Open,Clay,ATP,04-02-2013,Mayer,Leonardo,Volandri,Filippo,26,39,Home Win,0.648940100,Paddy Power,Best Betting,1.570000,0.0188359570000,Away Win,2,0,Completed
VTR Open,Clay,ATP,04-02-2013,Mayer,Leonardo,Volandri,Filippo,26,39,Away Win,0.351059899,Marathonbet.co.uk,Best Betting,3.050000,0.0707326919500,Away Win,2,0,Completed
VTR Open,Clay,ATP,05-02-2013,Lajovic,Dusan,Garin,Christian,6,0,Away Win,0.222442094,Pinnacle Sports,Odds Checker Web,6.490000,0.4436491900600,Away Win,2,0,Completed
VTR Open,Clay,ATP,05-02-2013,Riba,Pere,Robredo,Tommy,14,22,Home Win,0.180195619,Pinnacle Sports,Odds Checker Web,6.650000,0.1983008663500,Away Win,2,0,Completed
VTR Open,Clay,ATP,05-02-2013,Massu,Nicolas,Montanes,Albert,1,33,Away Win,0.886199574,Betfred,Odds Checker Web,1.290000,0.1431974504600,Away Win,2,1,Completed
VTR Open,Clay,ATP,05-02-2013,Rufin,Guillaume,Ramirez Hidalgo,Ruben,13,17,Away Win,0.519322980,Marathonbet.co.uk,Best Betting,2.880000,0.4956501824000,Home Win,2,0,Completed
VTR Open,Clay,ATP,05-02-2013,Berlocq,Carlos,Kuznetsov,Andrey,62,11,Away Win,0.397333025,Marathonbet.co.uk,Best Betting,3.350000,0.3310656337500,Home Win,2,0,Completed
VTR Open,Clay,ATP,05-02-2013,Schwartzman,Diego-Sebastian,Zeballos,Horacio,0,14,Away Win,0.824704489,Pinnacle Sports,Odds Checker Web,1.690000,0.3937505864100,Away Win,2,1,Completed
VTR Open,Clay,ATP,05-02-2013,Delbonis,Federico,Pella,Guido,10,2,Home Win,0.646002982,Coral,Best Betting,1.620000,0.0465248308400,Home Win,2,1,Completed
PBZ Zagreb Indoors,Hard,ATP,05-02-2013,Klizan,Martin,Viola,Matteo,34,3,Home Win,0.779393660,Ladbrokes,Odds Checker Web,1.400000,0.0911511240000,Home Win,2,1,Completed
PBZ Zagreb Indoors,Hard,ATP,05-02-2013,Mektic,Nikola,Sijsling,Igor,0,25,Away Win,0.852166623,Stan James,Odds Checker Web,1.200000,0.0225999476000,Away Win,2,0,Completed
PBZ Zagreb Indoors,Hard,ATP,05-02-2013,Pavic,Mate,Petzschner,Philipp,3,35,Home Win,0.167213749,Pinnacle Sports,Odds Checker Web,7.560000,0.2641359424400,Away Win,2,0,Completed
PBZ Zagreb Indoors,Hard,ATP,05-02-2013,Karlovic,Ivo,Dimitrov,Grigor,40,65,Home Win,0.459816312,Marathonbet.co.uk,Best Betting,3.450000,0.5863662764000,Home Win,2,0,Completed
PBZ Zagreb Indoors,Hard,ATP,05-02-2013,Kavcic,Blaz,Bedene,Aljaz,25,15,Away Win,0.729016956,Bet Victor,Odds Checker Mobi,1.670000,0.2174583165200,Home Win,2,1,Completed
PBZ Zagreb Indoors,Hard,ATP,05-02-2013,Zemlja,Grega,Bozoljac,Ilija,22,0,Home Win,0.581089186,Coral,Best Betting,2.000000,0.1621783720000,Home Win,2,1,Completed
Open Sud de France,Hard,ATP,05-02-2013,Mannarino,Adrian,Darcis,Steve,18,45,Away Win,0.629448549,Marathonbet.co.uk,Best Betting,2.750000,0.7309835097500,Away Win,2,0,Completed
Open Sud de France,Hard,ATP,05-02-2013,Nieminen,Jarkko,Serra,Florent,74,15,Home Win,0.785881972,Ladbrokes,Odds Checker Web,1.440000,0.1316700396800,Home Win,2,0,Completed
Open Sud de France,Hard,ATP,05-02-2013,Paire,Benoit,Menendez-Maceiras,Adrian,60,2,Away Win,0.280694062,Marathonbet.co.uk,Best Betting,4.450000,0.2490885759000,Home Win,2,0,Completed
Open Sud de France,Hard,ATP,05-02-2013,Monfils,Gael,Bemelmans,Ruben,56,11,Home Win,0.878757322,Bet Victor,Odds Checker Mobi,1.220000,0.0720839328400,Home Win,2,0,Completed
Open Sud de France,Hard,ATP,05-02-2013,Stakhovsky,Sergiy,Mathieu,Paul-Henri,54,32,Home Win,0.420899919,Marathonbet.co.uk,Best Betting,3.200000,0.3468797408000,Home Win,2,0,Completed
Open Sud de France,Hard,ATP,05-02-2013,Hajek,Jan,Sela,Dudi,13,39,Away Win,0.788751402,Betfred,Odds Checker Web,1.500000,0.1831271030000,Home Win,2,1,Completed
Open Sud de France,Hard,ATP,05-02-2013,Hanescu,Victor,Olaso,Guillermo,24,0,Home Win,0.899034296,Pinnacle Sports,Odds Checker Web,1.360000,0.2226866425600,Home Win,2,0,Completed
PBZ Zagreb Indoors,Hard,ATP,06-02-2013,Veic,Antonio,Haase,Robin,8,59,Home Win,0.383869370,Pinnacle Sports,Odds Checker Web,3.100000,0.1899950470000,Away Win,2,1,Completed
PBZ Zagreb Indoors,Hard,ATP,06-02-2013,Kamke,Tobias,Baghdatis,Marcos,39,85,Home Win,0.197632697,Marathonbet.co.uk,Best Betting,6.400000,0.2648492608000,Away Win,2,1,Completed
PBZ Zagreb Indoors,Hard,ATP,06-02-2013,Dodig,Ivan,Becker,Benjamin,56,28,Home Win,0.700313908,Pinnacle Sports,Odds Checker Web,1.710000,0.1975367826800,Home Win,2,0,Completed
PBZ Zagreb Indoors,Hard,ATP,06-02-2013,Youzhny,Mikhail,Sijsling,Igor,70,26,Home Win,0.691287328,Sporting Bet,Odds Checker Web,1.500000,0.0369309920000,Home Win,2,0,Completed
Open Sud de France,Hard,ATP,06-02-2013,Davydenko,Nikolay,Nieminen,Jarkko,72,75,Home Win,0.706913798,32Red bet,Odds Checker Web,1.530000,0.0815781109400,Away Win,2,0,Completed
Open Sud de France,Hard,ATP,06-02-2013,Troicki,Viktor,Pouille,Lucas,68,0,Home Win,0.940434072,Ladbrokes,Odds Checker Web,1.170000,0.1003078642400,Home Win,2,0,Completed
Open Sud de France,Hard,ATP,06-02-2013,De Schepper,Kenny,Llodra,Michael,6,34,Away Win,0.757380846,Stan James,Odds Checker Web,1.500000,0.1360712690000,Away Win,2,0,Completed
Open Sud de France,Hard,ATP,06-02-2013,Paire,Benoit,Darcis,Steve,61,46,Away Win,0.580903761,Pinnacle Sports,Odds Checker Web,3.110000,0.8066106967100,Home Win,2,1,Completed
Open Sud de France,Hard,ATP,06-02-2013,Brugues-Davi,Arnau,Kukushkin,Mikhail,2,37,Away Win,0.757415998,Bet 365,Odds Checker Web,3.400000,1.5752143932000,Home Win,2,1,Completed
Open Sud de France,Hard,ATP,06-02-2013,Roger-Vasselin,Edouard,Ito,Tatsuma,41,28,Away Win,0.389767435,32Red bet,Odds Checker Web,3.950000,0.5395813682500,Away Win,2,1,Completed
VTR Open,Clay,ATP,06-02-2013,Rufin,Guillaume,Monaco,Juan,14,75,Away Win,0.892950645,Marathonbet.co.uk,Best Betting,1.210000,0.0804702804500,Home Win,2,0,Completed
VTR Open,Clay,ATP,06-02-2013,Nadal,Rafael,Delbonis,Federico,65,11,Home Win,0.995437570,Bet 365,Odds Checker Web,1.070000,0.0651181999000,Home Win,2,0,Completed
VTR Open,Clay,ATP,06-02-2013,Ramos,Albert,Dutra Silva,Rogerio,69,7,Home Win,0.756190375,Betway,Odds Checker Web,1.450000,0.0964760437500,Home Win,2,0,Completed
VTR Open,Clay,ATP,06-02-2013,Berlocq,Carlos,Giraldo,Santiago,63,56,Away Win,0.423701607,Marathonbet.co.uk,Best Betting,2.750000,0.1651794192500,Home Win,2,1,Completed
VTR Open,Clay,ATP,06-02-2013,Sousa,Joao,Gimeno-Traver,Daniel,11,23,Home Win,0.308630845,Marathonbet.co.uk,Best Betting,3.300000,0.0184817885000,Away Win,2,1,Completed
VTR Open,Clay,ATP,06-02-2013,Naso,Gianluca,Lorenzi,Paolo,1,30,Away Win,0.672017878,Marathonbet.co.uk,Best Betting,1.700000,0.1424303926000,Away Win,2,0,Completed
PBZ Zagreb Indoors,Hard,ATP,07-02-2013,Klizan,Martin,Haase,Robin,35,60,Home Win,0.511151713,32Red bet,Odds Checker Web,2.400000,0.2267641112000,Away Win,2,1,Completed
PBZ Zagreb Indoors,Hard,ATP,07-02-2013,Kavcic,Blaz,Baghdatis,Marcos,26,85,Away Win,0.855630207,Stan James,Odds Checker Web,1.170000,0.0010873421900,Home Win,2,1,Completed
PBZ Zagreb Indoors,Hard,ATP,07-02-2013,Cilic,Marin,Zemlja,Grega,82,23,Away Win,0.188038823,Betfair,Best Betting,6.006500,0.1790034202100,Home Win,2,0,Completed
PBZ Zagreb Indoors,Hard,ATP,07-02-2013,Dodig,Ivan,Karlovic,Ivo,56,40,Away Win,0.515658399,Marathonbet.co.uk,Best Betting,2.420000,0.2478933255800,Home Win,2,1,Completed
PBZ Zagreb Indoors,Hard,ATP,07-02-2013,Devvarman,Somdev,Melzer,Jurgen,16,59,Home Win,0.329923584,Bet 365,Odds Checker Web,3.750000,0.2372134400000,Away Win,2,1,Completed
PBZ Zagreb Indoors,Hard,ATP,07-02-2013,Cipolla,Flavio,Rosol,Lukas,49,49,Home Win,0.511376405,Pinnacle Sports,Odds Checker Web,3.470000,0.7744761253500,Away Win,2,1,Completed
Open Sud de France,Hard,ATP,07-02-2013,Brugues-Davi,Arnau,Simon,Gilles,3,84,Away Win,0.925428488,Ladbrokes,Odds Checker Web,1.110000,0.0272256216800,Away Win,2,0,Completed
Open Sud de France,Hard,ATP,07-02-2013,Llodra,Michael,Tipsarevic,Janko,38,116,Away Win,0.645992424,Marathonbet.co.uk,Best Betting,1.850000,0.1950859844000,Home Win,2,0,Completed
Open Sud de France,Hard,ATP,07-02-2013,Gasquet,Richard,Monfils,Gael,84,57,Home Win,0.742309989,Pinnacle Sports,Odds Checker Web,1.700000,0.2619269813000,Home Win,2,1,Completed
Open Sud de France,Hard,ATP,07-02-2013,Ito,Tatsuma,Stakhovsky,Sergiy,29,54,Home Win,0.359456339,Pinnacle Sports,Odds Checker Web,2.930000,0.0532070732700,Away Win,2,1,Completed
VTR Open,Clay,ATP,07-02-2013,Zeballos,Horacio,Andujar,Pablo,15,63,Away Win,0.670467217,Pinnacle Sports,Odds Checker Web,2.820000,0.8907175519400,Home Win,2,0,Completed
VTR Open,Clay,ATP,07-02-2013,Robredo,Tommy,Lorenzi,Paolo,23,31,Home Win,0.722715223,Stan James,Odds Checker Web,1.670000,0.2069344224100,Away Win,2,0,Completed
VTR Open,Clay,ATP,07-02-2013,Chardy,Jeremy,Garin,Christian,60,1,Away Win,0.347127659,Betfair,Best Betting,8.172500,1.9679414844500,Home Win,2,1,Completed
VTR Open,Clay,ATP,07-02-2013,Ramos,Albert,Volandri,Filippo,70,40,Away Win,0.370543733,Pinnacle Sports,Odds Checker Web,3.010000,0.1153366363300,Home Win,2,1,Completed
VTR Open,Clay,ATP,07-02-2013,Montanes,Albert,Gimeno-Traver,Daniel,33,24,Away Win,0.535763503,Paddy Power,Odds Checker Web,2.100000,0.1251033563000,Away Win,2,0,Completed
PBZ Zagreb Indoors,Hard,ATP,08-02-2013,Rosol,Lukas,Melzer,Jurgen,50,60,Away Win,0.536949325,Marathonbet.co.uk,Best Betting,1.990000,0.0685291567500,Away Win,2,0,Completed
PBZ Zagreb Indoors,Hard,ATP,08-02-2013,Haase,Robin,Petzschner,Philipp,61,37,Away Win,0.559673281,Stan James,Odds Checker Web,2.100000,0.1753138901000,Home Win,2,1,Completed
PBZ Zagreb Indoors,Hard,ATP,08-02-2013,Youzhny,Mikhail,Dodig,Ivan,71,56,Home Win,0.621845329,Marathonbet.co.uk,Best Betting,1.610000,0.0011709796900,Home Win,2,0,Completed
PBZ Zagreb Indoors,Hard,ATP,08-02-2013,Cilic,Marin,Kavcic,Blaz,82,27,Away Win,0.172339565,Pinnacle Sports,Odds Checker Web,8.530000,0.4700564894500,Home Win,2,0,Completed
Open Sud de France,Hard,ATP,08-02-2013,Hajek,Jan,Llodra,Michael,15,38,Away Win,0.910236445,Pinnacle Sports,Odds Checker Web,1.160000,0.0558742762000,Away Win,2,0,Completed
Open Sud de France,Hard,ATP,08-02-2013,Nieminen,Jarkko,Stakhovsky,Sergiy,76,54,Away Win,0.366919242,Pinnacle Sports,Odds Checker Web,3.300000,0.2108334986000,Home Win,2,1,Completed
Open Sud de France,Hard,ATP,08-02-2013,Paire,Benoit,Simon,Gilles,62,89,Home Win,0.360701658,Totesport,Odds Checker Web,2.880000,0.0388207750400,Home Win,2,0,Completed
VTR Open,Clay,ATP,08-02-2013,Nadal,Rafael,Gimeno-Traver,Daniel,69,25,Home Win,0.991996836,Marathonbet.co.uk,Best Betting,1.040000,0.0316767094400,Home Win,2,0,Completed
VTR Open,Clay,ATP,08-02-2013,Chardy,Jeremy,Lorenzi,Paolo,61,32,Away Win,0.409027373,Betfred,Odds Checker Web,3.250000,0.3293389622500,Home Win,2,0,Completed
VTR Open,Clay,ATP,08-02-2013,Ramos,Albert,Zeballos,Horacio,71,16,Home Win,0.665519958,Pinnacle Sports,Odds Checker Web,1.790000,0.1912807248200,Away Win,2,1,Completed
Open Sud de France,Hard,ATP,08-02-2013,Gasquet,Richard,Benneteau,Julien,84,74,Away Win,0.301122765,Marathonbet.co.uk,Best Betting,3.450000,0.0388735392500,Home Win,2,1,Completed
PBZ Zagreb Indoors,Hard,ATP,09-02-2013,Melzer,Jurgen,Haase,Robin,61,62,Away Win,0.425763626,Marathonbet.co.uk,Best Betting,2.400000,0.0218327024000,Home Win,2,0,Completed
PBZ Zagreb Indoors,Hard,ATP,09-02-2013,Cilic,Marin,Youzhny,Mikhail,82,72,Home Win,0.671111037,Marathonbet.co.uk,Best Betting,1.670000,0.1207554317900,Home Win,2,1,Completed
VTR Open,Clay,ATP,09-02-2013,Zeballos,Horacio,Berlocq,Carlos,17,64,Away Win,0.684281397,32Red bet,Odds Checker Web,1.600000,0.0948502352000,Home Win,2,0,Completed
Open Sud de France,Hard,ATP,09-02-2013,Paire,Benoit,Llodra,Michael,63,39,Away Win,0.718182529,Paddy Power,Odds Checker Web,1.500000,0.0772737935000,Home Win,2,1,Completed
Open Sud de France,Hard,ATP,09-02-2013,Nieminen,Jarkko,Gasquet,Richard,77,84,Away Win,0.868178691,Ladbrokes,Odds Checker Web,1.290000,0.1199505113900,Away Win,2,1,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,11-02-2013,Klizan,Martin,Mathieu,Paul-Henri,36,33,Away Win,0.682168446,Marathonbet.co.uk,Best Betting,1.780000,0.2142598338800,Home Win,2,1,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,11-02-2013,Brands,Daniel,Simon,Gilles,23,86,Away Win,0.848530426,Pinnacle Sports,Best Betting,1.680000,0.4255311156800,Away Win,2,0,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,11-02-2013,Tomic,Bernard,Dimitrov,Grigor,68,66,Home Win,0.558029755,Pinnacle Sports,Odds Checker Web,1.840000,0.0267747492000,Away Win,2,1,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,11-02-2013,Tsonga,Jo-Wilfried,Sijsling,Igor,112,27,Away Win,0.106942266,Pinnacle Sports,Odds Checker Web,10.430000,0.1154078343800,Away Win,2,1,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,11-02-2013,Mayer,Florian,Davydenko,Nikolay,67,72,Away Win,0.747439675,Betfred,Odds Checker Web,1.440000,0.0763131320000,Away Win,2,0,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,11-02-2013,Hanescu,Victor,Janowicz,Jerzy,26,17,Home Win,0.323510995,Boylesports,Odds Checker Web,4.000000,0.2940439800000,Home Win,2,0,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,11-02-2013,Viola,Matteo,Granollers,Marcel,4,64,Away Win,0.914294071,Ladbrokes,Best Betting,1.300000,0.1885822923000,Home Win,2,1,Completed
Brasil Open,Clay,ATP,11-02-2013,Andujar,Pablo,Giraldo,Santiago,64,57,Away Win,0.716343176,Betfred,Odds Checker Web,1.620000,0.1604759451200,Home Win,2,0,Completed
Brasil Open,Clay,ATP,11-02-2013,Robredo,Tommy,Bolelli,Simone,24,22,Away Win,0.383457302,Pinnacle Sports,Odds Checker Web,2.670000,0.0238309963400,Away Win,2,0,Completed
SAP Open,Hard,ATP,11-02-2013,Malisse,Xavier,Soeda,Go,60,38,Away Win,0.608707635,Pinnacle Sports,Odds Checker Web,2.270000,0.3817663314500,Home Win,2,1,Completed
SAP Open,Hard,ATP,11-02-2013,Levine,Jesse,Klahn,Bradley,28,3,Away Win,0.329547181,Boylesports,Odds Checker Web,3.900000,0.2852340059000,Home Win,2,0,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,12-02-2013,Gulbis,Ernests,Haase,Robin,38,63,Home Win,0.607387965,Stan James,Odds Checker Web,1.830000,0.1115199759500,Home Win,2,0,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,12-02-2013,Monfils,Gael,Del Potro,Juan-Martin,55,96,Away Win,0.867573104,32Red bet,Best Betting,1.260000,0.0931421110400,Away Win,2,0,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,12-02-2013,Nieminen,Jarkko,Goffin,David,78,34,Home Win,0.625648994,Pinnacle Sports,Odds Checker Web,1.690000,0.0573467998600,Home Win,2,0,Completed
Brasil Open,Clay,ATP,12-02-2013,Fognini,Fabio,Pella,Guido,62,3,Home Win,0.741237744,Betfred,Odds Checker Web,1.500000,0.1118566160000,Away Win,2,1,Completed
Brasil Open,Clay,ATP,12-02-2013,Garcia-Lopez,Guillermo,Ramos,Albert,61,72,Home Win,0.351746783,Marathonbet.co.uk,Best Betting,3.450000,0.2135264013500,Away Win,2,0,Completed
Brasil Open,Clay,ATP,12-02-2013,Gimeno-Traver,Daniel,Volandri,Filippo,26,41,Home Win,0.690130138,Pinnacle Sports,Odds Checker Web,1.730000,0.1939251387400,Away Win,2,1,Completed
Brasil Open,Clay,ATP,12-02-2013,Clezar,Guilherme,Bellucci,Thomaz,0,54,Away Win,0.969440301,Marathonbet.co.uk,Best Betting,1.170000,0.1342451521700,Away Win,2,1,Completed
Brasil Open,Clay,ATP,12-02-2013,Kuznetsov,Andrey,Berlocq,Carlos,12,65,Home Win,0.369167724,Marathonbet.co.uk,Best Betting,3.800000,0.4028373512000,Away Win,2,0,Completed
SAP Open,Hard,ATP,12-02-2013,Pospisil,Vasek,Donskoy,Evgeny,22,9,Home Win,0.418878612,Betfred,Odds Checker Web,3.000000,0.2566358360000,Home Win,2,0,Completed
SAP Open,Hard,ATP,12-02-2013,Kavcic,Blaz,Hewitt,Lleyton,28,31,Away Win,0.747268847,Stan James,Odds Checker Web,1.570000,0.1732120897900,Away Win,2,1,Completed
SAP Open,Hard,ATP,12-02-2013,Becker,Benjamin,Harrison,Ryan,29,57,Away Win,0.675401526,Boylesports,Odds Checker Web,1.530000,0.0333643347800,Home Win,2,1,Completed
SAP Open,Hard,ATP,12-02-2013,Sock,Jack,Matosevic,Marinko,14,40,Away Win,0.660216681,Betfred,Odds Checker Web,1.800000,0.1883900258000,Away Win,2,0,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,13-02-2013,Federer,Roger,Zemlja,Grega,110,24,Home Win,0.983025261,32Red bet,Best Betting,1.030000,0.0125160188300,Home Win,2,0,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,13-02-2013,Davydenko,Nikolay,Dimitrov,Grigor,72,66,Home Win,0.634719475,Ladbrokes,Best Betting,1.910000,0.2123141972500,Away Win,2,0,Completed
Brasil Open,Clay,ATP,13-02-2013,Nalbandian,David,Aguilar,Jorge,48,0,Home Win,0.927226226,32Red bet,Best Betting,1.320000,0.2239386183200,Home Win,2,1,Completed
Brasil Open,Clay,ATP,13-02-2013,Chardy,Jeremy,Alund,Martin,63,2,Away Win,0.246870909,Marathonbet.co.uk,Best Betting,4.200000,0.0368578178000,Away Win,2,1,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,15-02-2013,Dimitrov,Grigor,Baghdatis,Marcos,66,87,Away Win,0.594121694,Pinnacle Sports,Odds Checker Web,1.980000,0.1763609541200,Home Win,2,1,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,15-02-2013,Nieminen,Jarkko,Del Potro,Juan-Martin,80,96,Away Win,0.853275278,Paddy Power,Best Betting,1.200000,0.0239303336000,Away Win,2,0,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,15-02-2013,Federer,Roger,Benneteau,Julien,111,75,Away Win,0.165200015,Marathonbet.co.uk,Best Betting,12.000000,0.9824001800000,Away Win,2,0,Completed
Brasil Open,Clay,ATP,15-02-2013,Montanes,Albert,Bolelli,Simone,35,24,Home Win,0.463215380,Pinnacle Sports,Odds Checker Web,2.260000,0.0468667588000,Away Win,2,0,Completed
Brasil Open,Clay,ATP,15-02-2013,Alund,Martin,Volandri,Filippo,3,43,Home Win,0.391447104,Pinnacle Sports,Odds Checker Web,2.560000,0.0021045862400,Home Win,2,0,Completed
Brasil Open,Clay,ATP,15-02-2013,Nalbandian,David,Almagro,Nicolas,48,90,Away Win,0.752342832,Pinnacle Sports,Best Betting,1.580000,0.1887016745600,Home Win,2,1,Completed
Brasil Open,Clay,ATP,15-02-2013,Nadal,Rafael,Berlocq,Carlos,72,67,Home Win,0.991288902,Marathonbet.co.uk,Best Betting,1.080000,0.0705920141600,Home Win,2,1,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,16-02-2013,Dimitrov,Grigor,Del Potro,Juan-Martin,67,97,Away Win,0.811746822,Pinnacle Sports,Odds Checker Web,1.240000,0.0065660592800,Away Win,2,0,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,16-02-2013,Benneteau,Julien,Simon,Gilles,76,90,Home Win,0.525779594,Pinnacle Sports,Best Betting,2.080000,0.0936215555200,Home Win,2,0,Completed
Brasil Open,Clay,ATP,16-02-2013,Bolelli,Simone,Nalbandian,David,25,49,Away Win,0.618616909,Stan James,Best Betting,1.620000,0.0021593925800,Away Win,2,0,Completed
ABN AMRO World Tennis Tournament,Hard,ATP,17-02-2013,Benneteau,Julien,Del Potro,Juan-Martin,77,98,Home Win,0.239279685,Bet 365,Odds Checker Mobi,5.000000,0.1963984250000,Away Win,2,0,Completed
Brasil Open,Clay,ATP,17-02-2013,Nadal,Rafael,Nalbandian,David,72,50,Home Win,0.859107775,Paddy Power,Odds Checker Web,1.500000,0.2886616625000,Home Win,2,0,Completed
U.S. National Indoor Tennis Championships,Hard,ATP,18-02-2013,Harrison,Ryan,Kubot,Lukasz,56,58,Away Win,0.487330977,Marathonbet.co.uk,Best Betting,2.960000,0.4424996919200,Away Win,2,1,Completed
U.S. National Indoor Tennis Championships,Hard,ATP,18-02-2013,Cilic,Marin,Dodig,Ivan,83,54,Home Win,0.849994461,Pinnacle Sports,Odds Checker Web,1.270000,0.0794929654700,Home Win,2,1,Completed
U.S. National Indoor Tennis Championships,Hard,ATP,18-02-2013,Johnson,Steve,Williams,Rhyne,12,3,Home Win,0.632997384,Pinnacle Sports,Odds Checker Web,2.050000,0.2976446372000,Away Win,2,0,Completed
Copa Claro,Clay,ATP,18-02-2013,Sousa,Joao,Delbonis,Federico,12,12,Home Win,0.413725993,Marathonbet.co.uk,Best Betting,3.500000,0.4480409755000,Away Win,2,0,Completed
Copa Claro,Clay,ATP,18-02-2013,Bellucci,Thomaz,Schwartzman,Diego-Sebastian,55,1,Home Win,0.953812755,Marathonbet.co.uk,Best Betting,1.630000,0.5547147906500,Away Win,2,1,Completed
Copa Claro,Clay,ATP,18-02-2013,Bedene,Aljaz,Zeballos,Horacio,16,20,Home Win,0.551482196,Marathonbet.co.uk,Best Betting,3.250000,0.7923171370000,Home Win,2,1,Completed
Copa Claro,Clay,ATP,18-02-2013,Pella,Guido,Almagro,Nicolas,5,90,Away Win,0.935124515,Stan James,Odds Checker Web,1.170000,0.0940956825500,Away Win,2,0,Completed
Copa Claro,Clay,ATP,18-02-2013,Ramos,Albert,Cipolla,Flavio,74,51,Away Win,0.335141240,Marathonbet.co.uk,Best Betting,3.950000,0.3238078980000,Home Win,2,0,Completed
Open 13,Hard,ATP,18-02-2013,Rosol,Lukas,Janowicz,Jerzy,51,18,Home Win,0.369182633,Pinnacle Sports,Odds Checker Web,2.970000,0.0964724200100,Away Win,2,0,Completed
Open 13,Hard,ATP,18-02-2013,Klizan,Martin,Tomic,Bernard,39,69,Away Win,0.776093056,Ladbrokes,Odds Checker Web,1.400000,0.0865302784000,Away Win,2,1,Completed
U.S. National Indoor Tennis Championships,Hard,ATP,19-02-2013,Melzer,Jurgen,Sijsling,Igor,62,29,Away Win,0.365781733,Marathonbet.co.uk,Best Betting,2.880000,0.0534513910400,Away Win,2,0,Completed
U.S. National Indoor Tennis Championships,Hard,ATP,19-02-2013,Mayer,Florian,Blake,James,67,29,Away Win,0.589994068,Pinnacle Sports,Odds Checker Web,1.760000,0.0383895596800,Away Win,2,1,Completed
U.S. National Indoor Tennis Championships,Hard,ATP,19-02-2013,Querrey,Sam,Falla,Alejandro,73,50,Away Win,0.280140873,Pinnacle Sports,Best Betting,3.850000,0.0785423610500,Home Win,2,0,Completed
U.S. National Indoor Tennis Championships,Hard,ATP,19-02-2013,Istomin,Denis,Isner,John,74,80,Home Win,0.466175793,Stan James,Odds Checker Web,2.620000,0.2213805776600,Home Win,2,0,Completed
U.S. National Indoor Tennis Championships,Hard,ATP,19-02-2013,Marchenko,Illya,Nishikori,Kei,1,76,Away Win,0.887163419,Bet Victor,Odds Checker Mobi,1.290000,0.1444408105100,Away Win,2,0,Completed
U.S. National Indoor Tennis Championships,Hard,ATP,19-02-2013,Bogomolov Jr.,Alex,Russell,Michael,56,25,Away Win,0.537374305,Marathonbet.co.uk,Best Betting,2.040000,0.0962435822000,Away Win,2,0,Completed
U.S. National Indoor Tennis Championships,Hard,ATP,19-02-2013,Becker,Benjamin,Lopez,Feliciano,31,72,Away Win,0.720431242,Marathonbet.co.uk,Best Betting,2.140000,0.5417228578800,Away Win,2,1,Completed
Copa Claro,Clay,ATP,19-02-2013,Robredo,Tommy,Elias,Gastao,25,1,Home Win,0.766277629,Pinnacle Sports,Best Betting,1.540000,0.1800675486600,Home Win,2,0,Completed
Copa Claro,Clay,ATP,19-02-2013,Mayer,Leonardo,Bolelli,Simone,27,26,Home Win,0.412064518,Marathonbet.co.uk,Best Betting,2.820000,0.1620219407600,Home Win,2,1,Completed
Copa Claro,Clay,ATP,19-02-2013,Lorenzi,Paolo,Wawrinka,Stanislas,34,70,Away Win,0.847333373,Pinnacle Sports,Best Betting,1.260000,0.0676400499800,Away Win,2,0,Completed
Copa Claro,Clay,ATP,19-02-2013,Reister,Julian,Alund,Martin,4,5,Home Win,0.520077143,Paddy Power,Odds Checker Web,2.500000,0.3001928575000,Home Win,2,0,Completed
